alpha3Code;population
ABW;106314
AFG;38041754
AGO;31825295
ALB;2854191
AND;77142
ARB;427870270
ARE;9770529
ARG;44938712
ARM;2957731
ASM;55312
ATG;97118
AUS;25364307
AUT;8877067
AZE;10023318
BDI;11530580
BEL;11484055
BEN;11801151
BFA;20321378
BGD;163046161
BGR;6975761
BHR;1641172
BHS;389482
BIH;3301000
BLR;9466856
BLZ;390353
BMU;63918
BOL;11513100
BRA;211049527
BRB;287025
BRN;433285
BTN;763092
BWA;2303697
CAF;4745185
CAN;37589262
CEB;102378579
CHE;8574832
CHI;172259
CHL;18952038
CHN;1397715000
CIV;25716544
CMR;25876380
COD;86790567
COG;5380508
COL;50339443
COM;850886
CPV;549935
CRI;5047561
CSS;7401383
CUB;11333483
CUW;157538
CYM;64948
CYP;1198575
CZE;10669709
DEU;83132799
DJI;973560
DMA;71808
DNK;5818553
DOM;10738958
DZA;43053054
EAP;2093675040
EAR;3290290613
EAS;2340628292
ECA;399404587
ECS;921140092
ECU;17373662
EGY;100388073
EMU;342597698
ERI;3213972
ESP;47076781
EST;1326590
ETH;112078730
EUU;447512041
FCS;798138587
FIN;5520314
FJI;889953
FRA;67059887
FRO;48678
FSM;113815
GAB;2172579
GBR;66834405
GEO;3720382
GHA;30417856
GIB;33701
GIN;12771246
GMB;2347706
GNB;1920922
GNQ;1355986
GRC;10716322
GRD;112003
GRL;56225
GTM;16604026
GUM;167294
GUY;782766
HIC;1235852838
HKG;7507400
HND;9746117
HPC;801708035
HRV;4067500
HTI;11263077
HUN;9769949
IBD;4816235953
IBT;6486934853
IDA;1670698900
IDB;561572202
IDN;270625568
IDX;1109126698
IMN;84584
IND;1366417754
INX;INX
IRL;4941444
IRN;82913906
IRQ;39309783
ISL;361313
ISR;9053300
ITA;60297396
JAM;2948279
JOR;10101694
JPN;126264931
KAZ;18513930
KEN;52573973
KGZ;6456900
KHM;16486542
KIR;117606
KNA;52834
KOR;51709098
KWT;4207083
LAC;613773119
LAO;7169455
LBN;6855713
LBR;4937374
LBY;6777452
LCA;182790
LCN;646430843
LDC;1033388876
LIC;668454965
LIE;38019
LKA;21803000
LMC;2913363391
LMY;6437681136
LSO;2125268
LTE;2298470832
LTU;2786844
LUX;619896
LVA;1912789
MAC;640445
MAF;38002
MAR;36471769
MCO;38964
MDA;2657637
MDG;26969307
MDV;530953
MEA;456707404
MEX;127575529
MHL;58791
MIC;5769226171
MKD;2083459
MLI;19658031
MLT;502653
MMR;54045420
MNA;389457086
MNE;622137
MNG;3225167
MNP;57216
MOZ;30366036
MRT;4525696
MUS;1265711
MWI;18628747
MYS;31949777
NAC;365892703
NAM;2494530
NCL;287800
NER;23310715
NGA;200963599
NIC;6545502
NLD;17332850
NOR;5347896
NPL;28608710
NRU;12581
NZL;4917000
OED;1359963500
OMN;4974986
OSS;31360407
PAK;216565318
PAN;4246439
PER;32510453
PHL;108116615
PLW;18008
PNG;8776109
POL;37970874
PRE;944902749
PRI;3193694
PRK;25666161
PRT;10269417
PRY;7044636
PSE;4685306
PSS;2493696
PST;1112914457
PYF;279287
QAT;2832067
ROU;19356544
RUS;144373535
RWA;12626950
SAS;1835776742
SAU;34268528
SDN;42813238
SEN;16296364
SGP;5703569
SLB;669823
SLE;7813215
SLV;6453553
SMR;33860
SOM;15442905
SRB;6944975
SSA;1105594562
SSD;11062113
SSF;1106957898
SST;41255486
STP;215056
SUR;581363
SVK;5454073
SVN;2087946
SWE;10285453
SWZ;1148130
SXM;40733
SYC;97625
SYR;17070135
TCA;38191
TCD;15946876
TEA;2067984156
TEC;460799505
TGO;8082366
THA;69625582
TJK;9321018
TKM;5942089
TLA;630644772
TLS;1293119
TMN;384771780
TON;104494
TSA;1835776742
TSS;1106957898
TTO;1394973
TUN;11694719
TUR;83429615
TUV;11646
TZA;58005463
UGA;44269594
UKR;44385155
UMC;2855862780
URY;3461734
USA;328239523
UZB;33580650
VCT;110589
VEN;28515829
VGB;30030
VIR;106631
VNM;96462106
VUT;299882
WLD;7673533974
WSM;197097
XKX;1794248
YEM;29161922
ZAF;58558270
ZMB;17861030
ZWE;14645468
